2026-03-05 15:42:08.508 | INFO     | src.llm_vision_parser:_parse_image:110 - 已加载图片: data/temp_images/processed\temp_ScreenShot_2026-03-05_154202_650.png
2026-03-05 15:42:08.509 | INFO     | src.llm_vision_parser:_parse_image:111 - 正在调用大模型进行表格识别（第1/3次）...
2026-03-05 15:42:20.591 | INFO     | src.llm_vision_parser:_extract_and_parse_json:259 - ✓ JSON 解析成功（直接解析）
2026-03-05 15:42:20.591 | INFO     | src.llm_vision_parser:_parse_image:148 - ✓ 大模型识别成功
2026-03-05 15:42:20.592 | INFO     | src.table_structure_detector:detect_structure:69 - ✓ 表格结构检测完成
2026-03-05 15:42:20.592 | INFO     | src.table_structure_detector:detect_structure:70 -   - 有表格: True
2026-03-05 15:42:20.592 | INFO     | src.table_structure_detector:detect_structure:71 -   - 有列名: True
2026-03-05 15:42:20.592 | INFO     | src.table_structure_detector:detect_structure:73 -   - 列名: ['产地规格', '黄海3170', '杭钢3240', '富鑫3170']
2026-03-05 15:42:20.593 | INFO     | src.table_structure_detector:detect_structure:74 -   - 数据行数: 16
2026-03-05 15:42:20.593 | INFO     | src.table_structure_detector:detect_structure:75 -   - 数据格式: object
2026-03-05 15:42:20.593 | INFO     | src.data_validator:validate_and_clean:56 - 📋 开始数据清洗，列名: ['产地规格', '黄海3170', '杭钢3240', '富鑫3170']
2026-03-05 15:42:20.598 | INFO     | src.data_validator:validate_and_clean:130 - ========== 数据清洗统计 ==========
2026-03-05 15:42:20.598 | INFO     | src.data_validator:validate_and_clean:131 -   总记录数: 16
2026-03-05 15:42:20.599 | INFO     | src.data_validator:validate_and_clean:132 -   有效记录数: 14
2026-03-05 15:42:20.599 | INFO     | src.data_validator:validate_and_clean:133 -   跳过记录数: 2
2026-03-05 15:42:20.599 | INFO     | src.data_validator:validate_and_clean:135 -   清洗完成率: 14/16 (87%)
2026-03-05 15:42:20.600 | INFO     | src.data_validator:validate_and_clean:136 - ================================
2026-03-05 15:42:20.600 | INFO     | __main__:main:207 - ✓ 解析成功 - 提取 14 条有效记录
2026-03-05 15:42:20.600 | INFO     | __main__:main:208 - ✓ 识别列名: ['产地规格', '黄海3170', '杭钢3240', '富鑫3170']
2026-03-05 15:42:20.601 | INFO     | src.excel_engine:generate:91 - ✓ 列名确定: ['产地规格', '黄海3170', '杭钢3240', '富鑫3170']
2026-03-05 15:42:20.603 | INFO     | src.excel_engine:generate:104 - ✓ 已创建 DataFrame: 14 行 x 4 列
2026-03-05 15:42:20.624 | INFO     | src.excel_engine:generate:117 - ✓ Excel 文件已保存: data/output_excel\表格_LocalFile_20260305_154220.xlsx
2026-03-05 15:42:20.646 | INFO     | src.excel_engine:generate:122 - ✓ Excel 格式化完成
2026-03-05 15:42:20.646 | INFO     | src.excel_engine:generate:127 - ========== Excel 生成统计 ==========
2026-03-05 15:42:20.647 | INFO     | src.excel_engine:generate:128 -   记录数: 14
2026-03-05 15:42:20.647 | INFO     | src.excel_engine:generate:129 -   字段数: 4
2026-03-05 15:42:20.649 | INFO     | src.excel_engine:generate:130 -   文件大小: 5.4 KB
2026-03-05 15:42:20.651 | INFO     | src.excel_engine:generate:131 -   保存路径: data/output_excel\表格_LocalFile_20260305_154220.xlsx
2026-03-05 15:42:20.651 | INFO     | src.excel_engine:generate:132 - ==================================
2026-03-05 15:42:20.652 | INFO     | __main__:main:218 - ✓ Excel 已保存: data/output_excel\表格_LocalFile_20260305_154220.xlsx
2026-03-05 15:42:20.653 | INFO     | src.file_tracker:mark_as_processed:112 - ✓ 文件已标记为已处理: ScreenShot_2026-03-05_154202_650.png
2026-03-05 15:43:07.592 | INFO     | __main__:main:262 - 
============================================================
2026-03-05 15:43:07.592 | INFO     | __main__:main:263 - 用户手动停止程序
2026-03-05 15:43:07.593 | INFO     | __main__:main:264 - 本次运行共处理 2 条消息
2026-03-05 15:43:07.593 | INFO     | __main__:main:265 - ============================================================
